trip_slug,variant_name,price,start_date,end_date,seats_available
winter-spiti,"Triple Sharing",18499,2026-02-07,,10
winter-spiti,"Double Sharing",19499,2026-02-07,,10
winter-spiti,"Triple Sharing",18499,2026-02-14,,10
winter-spiti,"Double Sharing",19499,2026-02-14,,10
winter-spiti,"Triple Sharing",18499,2026-02-21,,10
winter-spiti,"Double Sharing",19499,2026-02-21,,10
winter-spiti,"Triple Sharing",18499,2026-02-28,,10
winter-spiti,"Double Sharing",19499,2026-02-28,,10
winter-spiti,"Triple Sharing",18499,2026-03-07,,10
winter-spiti,"Double Sharing",19499,2026-03-07,,10
winter-spiti,"Triple Sharing",18499,2026-03-14,,10
winter-spiti,"Double Sharing",19499,2026-03-14,,10
winter-spiti,"Triple Sharing",18499,2026-03-21,,10
winter-spiti,"Double Sharing",19499,2026-03-21,,10
winter-spiti,"Triple Sharing",18499,2026-03-28,,10
winter-spiti,"Double Sharing",19499,2026-03-28,,10
winter-spiti,"Triple Sharing",18499,2026-04-04,,10
winter-spiti,"Double Sharing",19499,2026-04-04,,10
winter-spiti,"Triple Sharing",18499,2026-04-11,,10
winter-spiti,"Double Sharing",19499,2026-04-11,,10
winter-spiti,"Triple Sharing",18499,2026-04-18,,10
winter-spiti,"Double Sharing",19499,2026-04-18,,10
winter-spiti,"Triple Sharing",18499,2026-04-25,,10
winter-spiti,"Double Sharing",19499,2026-04-25,,10
winter-spiti,"Triple Sharing",18499,2026-05-02,,10
winter-spiti,"Double Sharing",19499,2026-05-02,,10
winter-spiti,"Triple Sharing",18499,2026-05-09,,10
winter-spiti,"Double Sharing",19499,2026-05-09,,10
winter-spiti,"Triple Sharing",18499,2026-05-16,,10
winter-spiti,"Double Sharing",19499,2026-05-16,,10
winter-spiti,"Triple Sharing",18499,2026-05-23,,10
winter-spiti,"Double Sharing",19499,2026-05-23,,10
winter-spiti,"Triple Sharing",18499,2026-05-30,,10
winter-spiti,"Double Sharing",19499,2026-05-30,,10
bali-with-gili-t,"Double Sharing",69999,2026-03-21,,10
bali-with-gili-t,"Double Sharing",69999,2026-04-16,,10
bali-with-gili-t,"Double Sharing",69999,2026-04-25,,10
bali-with-gili-t,"Double Sharing",69999,2026-05-09,,10
summer-spiti,"Double Sharing",19500,2026-05-09,,10
summer-spiti,"Triple Sharing",18500,2026-05-09,,10
summer-spiti,"Quad Sharing",17500,2026-05-09,,10
summer-spiti,"Double Sharing",19500,2026-05-16,,10
summer-spiti,"Triple Sharing",18500,2026-05-16,,10
summer-spiti,"Quad Sharing",17500,2026-05-16,,10
summer-spiti,"Double Sharing",19500,2026-05-23,,10
summer-spiti,"Triple Sharing",18500,2026-05-23,,10
summer-spiti,"Quad Sharing",17500,2026-05-23,,10
summer-spiti,"Double Sharing",19500,2026-05-30,,10
summer-spiti,"Triple Sharing",18500,2026-05-30,,10
summer-spiti,"Quad Sharing",17500,2026-05-30,,10
spiti-biking,"Standard",0,2026-05-09,,10
spiti-biking,"Standard",0,2026-05-16,,10
spiti-biking,"Standard",0,2026-05-23,,10
spiti-biking,"Standard",0,2026-05-30,,10
ladakh-apricot-blossom,"Standard",0,2026-04-21,,10
thailand-full-moon,"Standard",0,2026-06-27,,10
thailand-songkaran,"Standard",0,2026-04-12,,10
