slug,title,type,id
summer-spiti,Summer Spiti,domestic,1f80ad9b-ffe2-40c2-8f63-e9e228646ffc
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),domestic,ea5aaef9-5982-4dc1-b2fb-71effcb83e84
spiti-biking,Spiti Biking,domestic,67f214ed-0655-47d5-8aff-d2c485d3ad01
manali-with-chandrataal-delhi-delhi,Manali with Chandrataal (Delhi-Delhi),domestic,59d33497-0929-47b1-be3a-7b4d8a363b0b
teen-taal,Teen Taal (Delhi-Delhi),domestic,bc006aec-a940-47cc-93c8-a56c6bcba83b
teen-taal-with-gombo-ranjan,Teen Taal With Gombo Ranjan,domestic,4cb2a09e-2838-4941-ad84-c66f9c414ff3
zanskar-valley-6n7d-tempo-traveller,Zanskar Valley 6N7D (Tempo Traveller),domestic,f0e16792-b0f5-4c45-9dcd-609ac7e9e62a
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d
ladakh-leh-to-leh-with-turtuk,Leh-Leh With Turtuk 5N6D,domestic,89b17e7f-1a26-4398-816f-32686cf7b2ae
leh-leh-with-turtuk-6n7d,Leh-Leh with Turtuk 6N7D,domestic,a878285e-799f-41e2-9295-6fa4fa672c65
leh-to-leh-with-umling-la-hanle-tso-moriri,"Leh to Leh with Umling La, Hanle & Tso Moriri",domestic,7b8b17de-5691-4eed-ae76-b834b52100ec
winter-spiti-expedition,Winter Spiti Expedition,domestic,a1b86c67-45e9-4193-a645-ea1a74d0af09
spiti-valley-with-sangla-holi,Spiti Valley with Sangla Holi 6N7D,domestic,e0615ffb-27d0-48c8-9cf7-0acbb16204a0
sangla-holi-special,Sangla Holi Special,domestic,23fc4e0e-40e3-4767-81c8-9dc6bdcd7608
ladakh-apricot-blossom,Ladakh Apricot Blossom,domestic,56bd2126-f80e-45f3-9f09-588e3931f55b
baku-without-shahdag,Baku without Shahdag,international,1d081900-96e7-491d-b30e-0f637476b40d
baku-with-shahdag,Baku with Shahdag,international,6c57d42d-e611-4f07-87a4-d01a56a35f62
bali-with-nusa-gili-t,Bali with Nusa & Gili T,international,341c59dc-8934-451c-8b9e-66c99445f2ec
thailand-songkran-festival,Thailand Songkran Festival,international,3efb8866-7ac1-4b96-a8c6-7c2e5496843c
thailand-full-moon-party,Thailand full moon party,international,fae90e04-3c77-4878-9b6b-a5f1e7e37fa7
almaty,Almaty,international,670992ff-24ac-43fe-a0a3-5a4c2c19ed53
sri-lanka,Sri Lanka,international,45fb8007-1088-436c-8472-10783002f7a9
dubai,Dubai,international,5a220162-dffa-43ab-8d3c-42e9959189b6
japan,Japan,international,7a6903f0-ff2a-4816-9b66-a2b337d0fba6
