trip_type,slug,base_price_inr,payable_price_inr,save_amount_inr,has_discount,engine_version,picked_departure_date,picked_variant,error
international,almaty,64999,64999,0,False,v2,2026-03-12,Double Sharing,
international,baku-without-shahdag,52999,52999,0,False,v2,2026-03-24,Without Shahdag,
international,bali-with-nusa-gili-t,69999,69999,0,False,v2,2026-03-21,Double Sharing,
domestic,do-dhaam,18000,18000,0,False,v2,2026-04-24,Triple Sharing,
international,dubai,72499,72499,0,False,v2,2026-03-28,Double Sharing,
international,georgia,64999,64999,0,False,v2,2026-04-18,Double Sharing,
international,japan,169999,169999,0,False,v2,2026-03-18,Double Sharing,
domestic,kedarnath-yatra,12000,10000,2000,True,v2,2026-04-24,Quad Sharing,
domestic,ladakh-apricot-blossom,29999,29999,0,False,v2,2026-04-03,Triple Sharing,
domestic,leh-to-leh-with-turtuk-5n,19000,17000,2000,True,v2,2026-04-03,SIC (Seat in Coach) - Triple Sharing,
domestic,leh-to-leh-with-turtuk-6n,22000,18999,3001,True,v2,2026-04-02,SIC (Seat in Coach) - Triple Sharing,
domestic,leh-to-leh-with-umling-la-hanle-tso-moriri,30000,27000,3000,True,v2,2026-05-03,RE Himalayan - Pillion - Triple Sharing,
domestic,manali-with-chandrataal-2n,10500,10000,500,True,v2,2026-05-29,Triple Sharing,
domestic,sangla-holi-special,14000,13000,1000,True,v2,2026-02-28,Quad Sharing,
domestic,short-spiti-4n-5d,13500,13500,0,False,v2,2026-05-29,Quad Sharing,
domestic,spiti-biking,20000,19000,1000,True,v2,2026-05-30,Self Bike - Triple Sharing,
domestic,spiti-valley-with-sangla-holi,19999,18999,1000,True,v2,2026-02-28,Triple Sharing,
international,sri-lanka,69999,69999,0,False,v2,2026-03-14,Double Sharing,
domestic,summer-spiti,17500,16500,1000,True,v2,2026-05-09,Quad Sharing,
domestic,teen-taal,15000,14000,1000,True,v2,2026-05-29,Triple Sharing,
domestic,teen-taal-with-gopuranjan-4n,14500,14500,0,False,v2,2026-05-29,Quad Sharing,
international,thailand-full-moon-party,52999,52999,0,False,v2,2026-03-01,Double Sharing,
international,thailand-songkran-festival,59999,59999,0,False,v2,2026-04-12,Double Sharing,
international,vietnam,59999,59999,0,False,v2,2026-03-07,Double Sharing,
domestic,winter-spiti-expedition,18499,18000,499,True,v2,2026-02-28,Triple Sharing,
domestic,zanskar-6n,22999,22999,0,False,v2,2026-05-23,Triple Sharing,
